=========================================
SLURM_JOB_ID = 60374
SLURM_JOB_NODELIST = node20-78
SLURM_CPUS_ON_NODE = 4
SLURM_JOB_PARTITION = RT
SLURM_TASK_PID = 729647
==========================================
# command: ./a.out -T 4.0 -s 12345 
# ISING simulation, NVT Metropolis Monte Carlo
# L = 20, T = 4.000, nCycles 1000000, fSamp 1000, Seed 12345
0 1.30000e-01 -4.20000e-01
1000 1.50000e-02 -4.50000e-01
2000 0.00000e+00 -4.90000e-01
3000 1.25000e-01 -4.60000e-01
4000 2.00000e-02 -4.50000e-01
5000 5.50000e-02 -5.10000e-01
6000 1.20000e-01 -5.10000e-01
7000 3.00000e-02 -4.40000e-01
8000 -1.35000e-01 -5.60000e-01
9000 -5.00000e-02 -6.10000e-01
10000 -1.55000e-01 -5.60000e-01
11000 1.20000e-01 -5.40000e-01
12000 2.00000e-02 -5.20000e-01
13000 -4.00000e-02 -5.30000e-01
14000 8.50000e-02 -6.40000e-01
15000 9.00000e-02 -4.30000e-01
16000 -2.00000e-02 -5.80000e-01
17000 2.00000e-02 -4.90000e-01
18000 -1.25000e-01 -5.80000e-01
19000 1.50000e-02 -7.60000e-01
20000 1.50000e-01 -6.10000e-01
21000 -1.15000e-01 -4.70000e-01
22000 1.00000e-02 -6.70000e-01
23000 1.40000e-01 -6.50000e-01
24000 -4.50000e-02 -5.00000e-01
25000 -9.50000e-02 -5.50000e-01
26000 6.00000e-02 -5.60000e-01
27000 0.00000e+00 -6.50000e-01
28000 6.50000e-02 -4.40000e-01
29000 1.25000e-01 -5.00000e-01
30000 1.55000e-01 -5.10000e-01
31000 -1.50000e-02 -5.50000e-01
32000 -3.00000e-02 -5.70000e-01
33000 0.00000e+00 -6.10000e-01
34000 2.00000e-02 -5.50000e-01
35000 1.15000e-01 -6.60000e-01
36000 -1.00000e-02 -5.30000e-01
37000 4.00000e-02 -5.50000e-01
38000 1.10000e-01 -5.50000e-01
39000 -7.50000e-02 -5.40000e-01
40000 2.55000e-01 -5.50000e-01
41000 3.50000e-02 -4.90000e-01
42000 6.00000e-02 -6.20000e-01
43000 -1.00000e-02 -5.80000e-01
44000 -9.00000e-02 -4.70000e-01
45000 9.00000e-02 -3.80000e-01
46000 7.00000e-02 -4.70000e-01
47000 -1.10000e-01 -7.80000e-01
48000 5.50000e-02 -5.50000e-01
49000 6.00000e-02 -5.50000e-01
50000 -1.00000e-02 -5.70000e-01
51000 -1.75000e-01 -5.40000e-01
52000 2.00000e-02 -6.80000e-01
53000 -9.00000e-02 -3.20000e-01
54000 -1.80000e-01 -5.70000e-01
55000 1.15000e-01 -6.00000e-01
56000 -9.50000e-02 -6.90000e-01
57000 1.70000e-01 -5.30000e-01
58000 1.60000e-01 -7.40000e-01
59000 6.50000e-02 -5.60000e-01
60000 -2.00000e-02 -4.80000e-01
61000 5.50000e-02 -5.30000e-01
62000 2.05000e-01 -6.10000e-01
63000 -3.35000e-01 -6.30000e-01
64000 -9.00000e-02 -6.00000e-01
65000 4.50000e-02 -4.90000e-01
66000 1.95000e-01 -6.20000e-01
67000 1.00000e-02 -6.00000e-01
68000 -1.30000e-01 -4.50000e-01
69000 -1.90000e-01 -5.20000e-01
70000 3.00000e-02 -4.40000e-01
71000 1.50000e-02 -5.30000e-01
72000 -1.20000e-01 -6.20000e-01
73000 -4.00000e-02 -5.80000e-01
74000 -1.35000e-01 -5.30000e-01
75000 -5.50000e-02 -5.70000e-01
76000 3.50000e-02 -5.70000e-01
77000 -7.00000e-02 -7.20000e-01
78000 0.00000e+00 -4.90000e-01
79000 1.00000e-02 -6.10000e-01
80000 -5.00000e-02 -5.20000e-01
81000 1.10000e-01 -6.60000e-01
82000 -3.50000e-02 -5.80000e-01
83000 3.50000e-02 -6.50000e-01
84000 0.00000e+00 -5.60000e-01
85000 8.50000e-02 -6.40000e-01
86000 -1.50000e-02 -5.50000e-01
87000 1.20000e-01 -5.50000e-01
88000 1.00000e-02 -5.70000e-01
89000 -1.00000e-02 -7.10000e-01
90000 1.00000e-02 -5.10000e-01
91000 3.00000e-02 -6.60000e-01
92000 2.00000e-02 -6.50000e-01
93000 1.70000e-01 -6.40000e-01
94000 1.60000e-01 -4.80000e-01
95000 -2.00000e-02 -6.70000e-01
96000 -3.00000e-02 -4.50000e-01
97000 -3.00000e-02 -7.40000e-01
98000 -1.50000e-02 -5.00000e-01
99000 -8.00000e-02 -4.90000e-01
100000 0.00000e+00 -5.50000e-01
101000 -1.15000e-01 -4.00000e-01
102000 -5.00000e-03 -6.30000e-01
103000 9.50000e-02 -5.00000e-01
104000 4.50000e-02 -5.00000e-01
105000 -4.50000e-02 -4.70000e-01
106000 -1.45000e-01 -5.70000e-01
107000 -3.50000e-02 -5.00000e-01
108000 -3.50000e-02 -6.80000e-01
109000 -5.50000e-02 -5.60000e-01
110000 -6.00000e-02 -4.70000e-01
111000 5.00000e-03 -4.40000e-01
112000 2.00000e-02 -5.70000e-01
113000 -1.75000e-01 -6.10000e-01
114000 -1.90000e-01 -7.80000e-01
115000 9.50000e-02 -6.10000e-01
116000 2.00000e-02 -4.90000e-01
117000 -2.00000e-02 -4.40000e-01
118000 8.00000e-02 -4.80000e-01
119000 1.70000e-01 -5.90000e-01
120000 4.50000e-02 -5.20000e-01
121000 5.00000e-02 -6.20000e-01
122000 8.50000e-02 -5.70000e-01
123000 -1.25000e-01 -5.30000e-01
124000 1.50000e-01 -5.70000e-01
125000 -1.60000e-01 -6.60000e-01
126000 -1.15000e-01 -6.30000e-01
127000 -1.30000e-01 -5.80000e-01
128000 -1.50000e-02 -5.70000e-01
129000 2.00000e-02 -6.00000e-01
130000 8.00000e-02 -5.80000e-01
131000 -9.00000e-02 -4.90000e-01
132000 5.50000e-02 -5.30000e-01
133000 1.15000e-01 -6.70000e-01
134000 2.00000e-02 -5.40000e-01
135000 7.00000e-02 -6.10000e-01
136000 -1.00000e-02 -5.00000e-01
137000 -1.90000e-01 -5.50000e-01
138000 -3.00000e-02 -4.60000e-01
139000 1.70000e-01 -6.10000e-01
140000 -2.25000e-01 -6.10000e-01
141000 2.15000e-01 -6.60000e-01
142000 8.00000e-02 -6.60000e-01
143000 -2.50000e-02 -5.20000e-01
144000 -1.50000e-02 -4.70000e-01
145000 -1.45000e-01 -5.40000e-01
146000 2.25000e-01 -5.00000e-01
147000 1.70000e-01 -5.70000e-01
148000 -7.00000e-02 -5.60000e-01
149000 -6.50000e-02 -6.00000e-01
150000 3.50000e-02 -5.00000e-01
151000 5.00000e-02 -6.70000e-01
152000 -2.00000e-02 -5.80000e-01
153000 -3.00000e-02 -5.90000e-01
154000 -1.40000e-01 -7.40000e-01
155000 4.00000e-02 -6.90000e-01
156000 -1.95000e-01 -4.20000e-01
157000 5.50000e-02 -6.00000e-01
158000 -1.15000e-01 -5.80000e-01
159000 4.50000e-02 -5.30000e-01
160000 -1.10000e-01 -6.30000e-01
161000 -3.00000e-02 -4.70000e-01
162000 0.00000e+00 -6.80000e-01
163000 1.85000e-01 -5.20000e-01
164000 1.50000e-01 -7.80000e-01
165000 -6.00000e-02 -5.90000e-01
166000 1.00000e-01 -3.70000e-01
167000 -3.00000e-01 -6.30000e-01
168000 1.15000e-01 -7.00000e-01
169000 -3.50000e-02 -5.80000e-01
170000 -1.90000e-01 -6.40000e-01
171000 5.50000e-02 -5.70000e-01
172000 -2.05000e-01 -7.10000e-01
173000 1.20000e-01 -3.70000e-01
174000 -1.25000e-01 -5.20000e-01
175000 0.00000e+00 -4.80000e-01
176000 -1.60000e-01 -6.80000e-01
177000 -2.50000e-02 -5.80000e-01
178000 8.50000e-02 -5.00000e-01
179000 -4.50000e-02 -7.50000e-01
180000 -2.00000e-02 -6.80000e-01
181000 2.00000e-02 -5.40000e-01
182000 -5.00000e-02 -6.30000e-01
183000 -8.00000e-02 -6.60000e-01
184000 5.00000e-03 -5.40000e-01
185000 8.50000e-02 -5.50000e-01
186000 -1.65000e-01 -6.70000e-01
187000 -9.00000e-02 -5.60000e-01
188000 -9.00000e-02 -5.90000e-01
189000 -8.00000e-02 -5.90000e-01
190000 8.50000e-02 -5.80000e-01
191000 -2.00000e-02 -6.80000e-01
192000 2.50000e-02 -6.40000e-01
193000 3.00000e-02 -5.80000e-01
194000 -2.00000e-02 -5.30000e-01
195000 1.50000e-02 -5.20000e-01
196000 -1.20000e-01 -5.70000e-01
197000 -2.50000e-02 -6.90000e-01
198000 -1.50000e-02 -6.10000e-01
199000 1.80000e-01 -5.80000e-01
200000 7.00000e-02 -4.60000e-01
201000 -5.00000e-02 -6.10000e-01
202000 -8.00000e-02 -5.10000e-01
203000 -5.00000e-03 -4.90000e-01
204000 -1.10000e-01 -5.00000e-01
205000 9.50000e-02 -5.80000e-01
206000 -7.00000e-02 -4.30000e-01
207000 -2.50000e-02 -5.20000e-01
208000 7.00000e-02 -5.00000e-01
209000 -8.50000e-02 -7.10000e-01
210000 6.00000e-02 -6.20000e-01
211000 7.50000e-02 -3.40000e-01
212000 -1.50000e-02 -4.80000e-01
213000 -1.25000e-01 -5.50000e-01
214000 -7.50000e-02 -5.50000e-01
215000 4.50000e-02 -6.20000e-01
216000 -1.50000e-02 -5.20000e-01
217000 9.50000e-02 -5.40000e-01
218000 6.00000e-02 -5.70000e-01
219000 1.50000e-02 -5.70000e-01
220000 0.00000e+00 -7.30000e-01
221000 2.15000e-01 -7.10000e-01
222000 2.00000e-02 -5.10000e-01
223000 -8.00000e-02 -4.90000e-01
224000 -7.50000e-02 -4.30000e-01
225000 -2.00000e-02 -6.40000e-01
226000 4.50000e-02 -5.90000e-01
227000 -3.50000e-02 -4.40000e-01
228000 -6.00000e-02 -4.70000e-01
229000 7.00000e-02 -5.50000e-01
230000 0.00000e+00 -5.50000e-01
231000 -7.00000e-02 -5.10000e-01
232000 -7.50000e-02 -5.40000e-01
233000 -1.00000e-02 -4.90000e-01
234000 -4.00000e-02 -5.30000e-01
235000 -9.50000e-02 -5.20000e-01
236000 2.00000e-02 -5.20000e-01
237000 0.00000e+00 -5.90000e-01
238000 -7.50000e-02 -4.70000e-01
239000 1.00000e-02 -5.50000e-01
240000 1.40000e-01 -6.60000e-01
241000 -5.00000e-02 -6.20000e-01
242000 -6.50000e-02 -5.60000e-01
243000 -9.50000e-02 -5.90000e-01
244000 -2.00000e-01 -5.20000e-01
245000 3.50000e-02 -5.10000e-01
246000 -7.00000e-02 -4.70000e-01
247000 7.50000e-02 -5.50000e-01
248000 9.00000e-02 -5.90000e-01
249000 1.30000e-01 -4.90000e-01
250000 -7.50000e-02 -4.30000e-01
251000 6.00000e-02 -7.10000e-01
252000 -3.00000e-02 -4.80000e-01
253000 -1.85000e-01 -5.60000e-01
254000 -5.00000e-03 -5.20000e-01
255000 1.30000e-01 -5.80000e-01
256000 1.00000e-01 -6.40000e-01
257000 7.00000e-02 -5.60000e-01
258000 1.05000e-01 -6.80000e-01
259000 1.45000e-01 -7.20000e-01
260000 -3.00000e-02 -5.90000e-01
261000 6.00000e-02 -4.70000e-01
262000 -5.50000e-02 -4.20000e-01
263000 1.00000e-02 -6.50000e-01
264000 8.50000e-02 -6.40000e-01
265000 2.50000e-02 -5.00000e-01
266000 7.50000e-02 -6.90000e-01
267000 2.80000e-01 -6.50000e-01
268000 8.50000e-02 -4.40000e-01
